country,ISO_Alpha_3,survey,year,age_min,age_max,prop_circumcised,ci_lower,ci_upper,num_uncircumcised,num_circumcised
Rwanda,RWA,RW2010DHS,2010,20,24,0.161055723,0.139875792,0.184753837,971.97633,186.594455
Rwanda,RWA,RW2010DHS,2010,25,29,0.171393652,0.145894713,0.200304041,860.215411,177.931851
Rwanda,RWA,RW2010DHS,2010,30,34,0.17681312,0.148357383,0.209384925,584.67238,125.582356
Rwanda,RWA,RW2010DHS,2010,35,39,0.12850252,0.097106911,0.168158166,427.309651,63.006914
Rwanda,RWA,RW2010DHS,2010,40,44,0.124106868,0.094681071,0.161050989,376.529514,53.351142
Rwanda,RWA,RW2010DHS,2010,45,49,0.100048787,0.070294653,0.14049397,370.496161,41.188556
Rwanda,RWA,RW2010DHS,2010,50,54,0.07716655,0.057261302,0.103233574,592.006105,49.503048
Rwanda,RWA,RW2015DHS,2015,15,19,0.265812303,0.235836084,0.29811228,939.767372,340.242326
Rwanda,RWA,RW2015DHS,2015,20,24,0.441873856,0.406781418,0.477556552,554.032816,438.633128
Rwanda,RWA,RW2015DHS,2015,25,29,0.353463092,0.320600752,0.387771327,611.431405,334.27084
Rwanda,RWA,RW2015DHS,2015,30,34,0.276872542,0.242629812,0.313944741,671.528283,257.116143
Rwanda,RWA,RW2015DHS,2015,35,39,0.21985379,0.187532791,0.255990133,442.653571,124.744649
Rwanda,RWA,RW2015DHS,2015,40,44,0.18882302,0.152510847,0.231420102,383.977955,89.381083
Rwanda,RWA,RW2015DHS,2015,45,49,0.174614887,0.13734912,0.219419868,317.703862,67.212048
Rwanda,RWA,RW2015DHS,2015,50,54,0.117566031,0.091057186,0.150514277,564.857299,75.255524
Eswatini,SWZ,SZ2006DHS,2006,15,19,0.041565955,0.031389118,0.05485542,1267.954251,54.989417
Eswatini,SWZ,SZ2006DHS,2006,20,24,0.065131802,0.049405468,0.085414216,828.360461,57.711461
Eswatini,SWZ,SZ2006DHS,2006,25,29,0.079452572,0.057715431,0.108434387,573.109306,49.465141
Eswatini,SWZ,SZ2006DHS,2006,30,34,0.0993446,0.073999526,0.132131777,388.153727,42.814351
